OBJECTID,route_id,direction_id,time_period,speed_mph,district_name,org_id,agency,base64_url,route_name,Shape_Length
70,2031,1,peak,35.2476816,01 - Eureka,recPwXKbGLL4aIqXV,Lake Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,"Highway 175, Kit?s Corner to Middletown",0.316319863440328
71,2031,1,all_day,35.2476816,01 - Eureka,recPwXKbGLL4aIqXV,Lake Transit Authority,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9sYWtldHJhbnNpdC1jYS11cy9sYWtldHJhbnNpdC1jYS11cy56aXA=,"Highway 175, Kit?s Corner to Middletown",0.316319863440328
72,114,1,offpeak,17.45334737,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Mill Valley - San Francisco,0.296101665422702
73,114,1,peak,12.93660606,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Mill Valley - San Francisco,0.296101665422702
74,114,1,all_day,14.8597701,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Mill Valley - San Francisco,0.296101665422702
75,114,0,offpeak,16.92340112,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Mill Valley - San Francisco,0.305133227171969
76,114,0,peak,13.31887812,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Mill Valley - San Francisco,0.305133227171969
77,114,0,all_day,13.73477126,04 - Oakland,recoX7qMhlPrgfuz3,"Golden Gate Bridge, Highway and Transportation District",aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1HRw==,Mill Valley - San Francisco,0.305133227171969
78,3,1,offpeak,18.09779117,04 - Oakland,recmB4uxrVLRXYF3L,City of Union City,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1VQw==,Almaden,0.0743409879704593
79,3,1,peak,15.01990245,04 - Oakland,recmB4uxrVLRXYF3L,City of Union City,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1VQw==,Almaden,0.0743409879704593
80,3,1,all_day,16.46086648,04 - Oakland,recmB4uxrVLRXYF3L,City of Union City,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1VQw==,Almaden,0.0743409879704593
81,355,0,offpeak,16.73833834,08 - San Bernardino,recuGkFhN2WXGK67H,City of Banning,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9iYW5uaW5nLWNhLXVzL2Jhbm5pbmctY2EtdXMuemlw, ,0.617752773030435
82,355,0,peak,10.96892521,08 - San Bernardino,recuGkFhN2WXGK67H,City of Banning,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9iYW5uaW5nLWNhLXVzL2Jhbm5pbmctY2EtdXMuemlw, ,0.617752773030435
83,355,0,all_day,13.89271592,08 - San Bernardino,recuGkFhN2WXGK67H,City of Banning,aHR0cHM6Ly9kYXRhLnRyaWxsaXVtdHJhbnNpdC5jb20vZ3Rmcy9iYW5uaW5nLWNhLXVzL2Jhbm5pbmctY2EtdXMuemlw, ,0.617752773030435
84,383,1,offpeak,15.01193499,04 - Oakland,recEEJVeGrHGoTwgj,Eastern Contra Costa Transit Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD0zRA==,Blue Goose Park / Antioch BART,0.228038814292629
85,383,1,peak,14.01197645,04 - Oakland,recEEJVeGrHGoTwgj,Eastern Contra Costa Transit Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD0zRA==,Blue Goose Park / Antioch BART,0.228038814292629
86,383,1,all_day,14.22599258,04 - Oakland,recEEJVeGrHGoTwgj,Eastern Contra Costa Transit Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD0zRA==,Blue Goose Park / Antioch BART,0.228038814292629
